LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
2.84	11.4541	5.86654	0.00298432	0.00608478
2.85	11.4474	5.88081	0.00298258	0.00609958
2.86	11.4408	5.89508	0.00298084	0.00611438
2.87	11.4341	5.90933	0.0029791	0.00612916
2.88	11.4274	5.92358	0.00297736	0.00614394
2.89	11.4207	5.93782	0.00297562	0.00615871
2.9	11.4141	5.95205	0.00297388	0.00617347
2.91	11.4074	5.96627	0.00297215	0.00618822
2.92	11.4008	5.98048	0.00297041	0.00620296
2.93	11.3941	5.99469	0.00296868	0.0062177
2.94	11.3875	6.00889	0.0016483	0.00623242
2.95	11.3838	6.01677	0.00164776	0.0062406
2.96	11.3801	6.02465	0.00164721	0.00624877
2.97	11.3764	6.03253	0.00164665	0.00625694
2.98	11.3727	6.0404	0.00164609	0.00626511
2.99	11.369	6.04828	0.00164553	0.00627327
3	11.3653	6.05614	0.00164496	0.00628144
3.01	11.3616	6.06401	0.00164438	0.0062896
3.02	11.358	6.07188	0.0016438	0.00629775
3.03	11.3543	6.07974	0.00164322	0.00630591
3.04	11.3506	6.0876	0.00164263	0.00631406
3.05	11.3469	6.09545	0.00164203	0.00632221
3.06	11.3432	6.1033	0.00164143	0.00633035
3.07	11.3396	6.11115	0.00164083	0.00633849
3.08	11.3359	6.119	0.00164021	0.00634663
3.09	11.3322	6.12685	0.0016396	0.00635477
3.1	11.3285	6.13469	0.00163898	0.0063629
3.11	11.3249	6.14252	0.00163835	0.00637103
3.12	11.3212	6.15036	0.00163772	0.00637916
3.13	11.3175	6.15819	0.00163708	0.00638728
3.14	11.3139	6.16602	0.00163644	0.0063954
3.15	11.3102	6.17385	0.00163579	0.00640352
3.16	11.3065	6.18167	0.00163514	0.00641163
3.17	11.3029	6.18949	0.00163448	0.00641974
3.18	11.2992	6.19731	0.00163382	0.00642785
3.19	11.2956	6.20512	0.00163315	0.00643595
3.2	11.2919	6.21293	0.00163248	0.00644406
3.21	11.2882	6.22074	0.0016318	0.00645215
3.22	11.2846	6.22854	0.00163111	0.00646025
3.23	11.2809	6.23634	0.00163042	0.00646834
3.24	11.2773	6.24414	0.00162973	0.00647643
3.25	11.2736	6.25193	0.00162903	0.00648451
3.26	11.27	6.25973	0.00162833	0.00649259
3.27	11.2663	6.26751	0.00162762	0.00650067
3.28	11.2627	6.2753	0.0016269	0.00650874
3.29	11.259	6.28308	0.00162618	0.00651681
3.3	11.2554	6.29085	0.00162546	0.00652488
3.31	11.2518	6.29863	0.00162473	0.00653294
3.32	11.2481	6.3064	0.00162399	0.006541
3.33	11.2445	6.31416	0.00162325	0.00654905
3.34	11.2408	6.32193	0.00162251	0.00655711
3.35	11.2372	6.32969	0.00162175	0.00656515
3.36	11.2336	6.33744	0.001621	0.0065732
3.37	11.2299	6.3452	0.00162024	0.00658124
3.38	11.2263	6.35294	0.00161947	0.00658928
3.39	11.2227	6.36069	0.0016187	0.00659731
3.4	11.2191	6.36843	0.00161792	0.00660534
3.41	11.2154	6.37617	0.00161714	0.00661336
3.42	11.2118	6.3839	0.00161635	0.00662139
3.43	11.2082	6.39163	0.00161556	0.0066294
3.44	11.2046	6.39936	0.00161476	0.00663742
3.45	11.201	6.40708	0.00161396	0.00664543
3.46	11.1974	6.4148	0.00161315	0.00665343
3.47	11.1937	6.42251	0.00161234	0.00666143
3.48	11.1901	6.43022	0.00161152	0.00666943
3.49	11.1865	6.43793	0.0016107	0.00667743
3.5	11.1829	6.44563	0.00160987	0.00668542
3.51	11.1793	6.45333	0.00160904	0.0066934
3.52	11.1757	6.46103	0.0016082	0.00670138
3.53	11.1721	6.46872	0.00160736	0.00670936
3.54	11.1685	6.47641	0.00160651	0.00671733
3.55	11.1649	6.48409	0.00160566	0.0067253
3.56	11.1613	6.49177	0.0016048	0.00673327
3.57	11.1577	6.49944	0.00160393	0.00674123
3.58	11.1541	6.50711	0.00160306	0.00674918
3.59	11.1505	6.51478	0.00160219	0.00675713
3.6	11.1469	6.52244	0.00160131	0.00676508
3.61	11.1434	6.5301	0.00160043	0.00677302
3.62	11.1398	6.53775	0.00159954	0.00678096
3.63	11.1362	6.5454	0.00159864	0.0067889
3.64	11.1326	6.55305	0.00159774	0.00679683
3.65	11.129	6.56069	0.00159684	0.00680475
3.66	11.1254	6.56833	0.00159593	0.00681267
3.67	11.1219	6.57596	0.00159501	0.00682059
3.68	11.1183	6.58359	0.00159409	0.0068285
3.69	11.1147	6.59121	0.00159317	0.00683641
3.7	11.1112	6.59883	0.00159224	0.00684431
3.71	11.1076	6.60645	0.0015913	0.00685221
3.72	11.104	6.61406	0.00159036	0.0068601
3.73	11.1005	6.62166	0.00158942	0.00686799
3.74	11.0969	6.62926	0.00158846	0.00687587
3.75	11.0934	6.63686	0.00158751	0.00688375
3.76	11.0898	6.64445	0.00158655	0.00689163
3.77	11.0862	6.65204	0.00158558	0.0068995
