LeakagePort 1	Current turn 0.5	Pressure storage 11.6818	Pressure reaction 1.63873
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.99	10.7554	3.62873	0.00202274	0.0037772
2	10.7509	3.63837	0.00202189	0.00378724
2.01	10.7465	3.64801	0.00202105	0.00379727
2.02	10.742	3.65764	0.00202021	0.00380729
2.03	10.7375	3.66727	0.00201937	0.00381731
2.04	10.733	3.67689	0.00201852	0.00382733
2.05	10.7285	3.68651	0.00201768	0.00383734
2.06	10.7241	3.69612	0.00201684	0.00384735
2.07	10.7196	3.70573	0.002016	0.00385735
2.08	10.7151	3.71534	0.00201516	0.00386735
2.09	10.7106	3.72494	0.00201432	0.00387735
2.1	10.7062	3.73454	0.00201348	0.00388734
2.11	10.7017	3.74414	0.00201264	0.00389733
2.12	10.6972	3.75373	0.0020118	0.00390731
2.13	10.6928	3.76332	0.00201096	0.00391729
2.14	10.6883	3.7729	0.00201012	0.00392727
2.15	10.6839	3.78248	0.00200928	0.00393724
2.16	10.6794	3.79205	0.00200844	0.0039472
2.17	10.675	3.80162	0.0020076	0.00395717
2.18	10.6705	3.81119	0.00200676	0.00396712
2.19	10.666	3.82075	0.00200593	0.00397708
2.2	10.6616	3.83031	0.00200509	0.00398703
2.21	10.6571	3.83987	0.00200425	0.00399697
2.22	10.6527	3.84942	0.00200342	0.00400692
2.23	10.6483	3.85896	0.00200258	0.00401685
2.24	10.6438	3.86851	0.00200175	0.00402679
2.25	10.6394	3.87805	0.00200091	0.00403672
2.26	10.6349	3.88758	0.00200008	0.00404664
2.27	10.6305	3.89711	0.00199924	0.00405656
2.28	10.6261	3.90664	0.00199841	0.00406648
2.29	10.6216	3.91616	0.00199757	0.00407639
2.3	10.6172	3.92568	0.00199674	0.0040863
2.31	10.6128	3.9352	0.00199591	0.0040962
2.32	10.6083	3.94471	0.00199508	0.0041061
2.33	10.6039	3.95422	0.00199424	0.004116
2.34	10.5995	3.96372	0.00199341	0.00412589
2.35	10.5951	3.97322	0.00199258	0.00413578
2.36	10.5906	3.98271	0.00199175	0.00414566
2.37	10.5862	3.9922	0.00199092	0.00415554
2.38	10.5818	4.00169	0.00199009	0.00416542
2.39	10.5774	4.01118	0.00198926	0.00417529
2.4	10.573	4.02065	0.00198843	0.00418516
2.41	10.5686	4.03013	0.0019876	0.00419502
2.42	10.5642	4.0396	0.00198677	0.00420488
2.43	10.5598	4.04907	0.00198594	0.00421474
2.44	10.5554	4.05853	0.00198511	0.00422459
2.45	10.5509	4.06799	0.00198428	0.00423443
2.46	10.5465	4.07745	0.00198345	0.00424428
2.47	10.5421	4.0869	0.00198263	0.00425412
2.48	10.5377	4.09635	0.0019818	0.00426395
2.49	10.5334	4.10579	0.00198097	0.00427378
2.5	10.529	4.11523	0.00198015	0.00428361
2.51	10.5246	4.12467	0.00197932	0.00429343
2.52	10.5202	4.1341	0.00197849	0.00430325
2.53	10.5158	4.14353	0.00197767	0.00431306
2.54	10.5114	4.15295	0.00197684	0.00432287
2.55	10.507	4.16237	0.00197602	0.00433268
2.56	10.5026	4.17179	0.00197519	0.00434248
2.57	10.4982	4.1812	0.00197437	0.00435228
2.58	10.4939	4.19061	0.00197355	0.00436207
2.59	10.4895	4.20002	0.00197272	0.00437186
2.6	10.4851	4.20942	0.0019719	0.00438164
2.61	10.4807	4.21881	0.00197108	0.00439142
2.62	10.4764	4.22821	0.00197026	0.0044012
2.63	10.472	4.2376	0.00196943	0.00441098
2.64	10.4676	4.24698	0.00196861	0.00442074
2.65	10.4633	4.25636	0.00196779	0.00443051
2.66	10.4589	4.26574	0.00196697	0.00444027
2.67	10.4545	4.27511	0.00196615	0.00445003
2.68	10.4502	4.28448	0.00196533	0.00445978
2.69	10.4458	4.29385	0.00196451	0.00446953
2.7	10.4415	4.30321	0.00196369	0.00447927
2.71	10.4371	4.31257	0.00196287	0.00448901
