SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
3.54	22.3943	0.0085694
3.55	22.4328	0.00851854
3.56	22.4711	0.00846788
3.57	22.5092	0.0084174
3.58	22.547	0.0083671
3.59	22.5846	0.008317
3.6	22.622	0.00826709
3.61	22.6591	0.00821736
3.62	22.696	0.00816783
3.63	22.7328	0.00811849
3.64	22.7692	0.00806935
3.65	22.8055	0.00802039
3.66	22.8415	0.00797164
3.67	22.8774	0.00792308
3.68	22.913	0.00787471
3.69	22.9483	0.00782655
3.7	22.9835	0.00777858
3.71	23.0185	0.00773081
3.72	23.0532	0.00768324
3.73	23.0877	0.00763587
3.74	23.122	0.00758871
3.75	23.1561	0.00754174
3.76	23.19	0.00749497
3.77	23.2237	0.00744841
3.78	23.2572	0.00740205
3.79	23.2904	0.0073559
3.8	23.3235	0.00730994
3.81	23.3563	0.0072642
3.82	23.389	0.00721865
3.83	23.4214	0.00717331
3.84	23.4536	0.00712818
3.85	23.4856	0.00708325
3.86	23.5175	0.00703853
3.87	23.5491	0.00699401
3.88	23.5805	0.0069497
3.89	23.6117	0.0069056
3.9	23.6427	0.0068617
3.91	23.6736	0.00681801
3.92	23.7042	0.00677452
3.93	23.7346	0.00673125
3.94	23.7649	0.00668818
3.95	23.7949	0.00664531
3.96	23.8248	0.00660266
3.97	23.8544	0.00656021
3.98	23.8839	0.00651797
3.99	23.9132	0.00647594
4	23.9423	0.00643411
4.01	23.9712	0.00639249
4.02	23.9999	0.00635108
4.03	24.0284	0.00630988
4.04	24.0567	0.00626888
4.05	24.0849	0.00622809
4.06	24.1129	0.00618751
4.07	24.1407	0.00614713
4.08	24.1683	0.00610696
4.09	24.1957	0.006067
4.1	24.223	0.00602724
4.11	24.25	0.00598769
4.12	24.2769	0.00594834
4.13	24.3036	0.0059092
4.14	24.3302	0.00587027
4.15	24.3566	0.00583153
4.16	24.3827	0.00579301
4.17	24.4088	0.00575469
4.18	24.4346	0.00571657
4.19	24.4603	0.00567865
4.2	24.4858	0.00564094
4.21	24.5111	0.00560344
4.22	24.5363	0.00556613
4.23	24.5613	0.00552903
4.24	24.5861	0.00549213
4.25	24.6108	0.00545543
4.26	24.6353	0.00541893
4.27	24.6596	0.00538263
4.28	24.6838	0.00534653
4.29	24.7078	0.00531064
4.3	24.7316	0.00527494
4.31	24.7553	0.00523944
4.32	24.7789	0.00520414
4.33	24.8022	0.00516903
4.34	24.8254	0.00513413
4.35	24.8485	0.00509942
4.36	24.8714	0.0050649
4.37	24.8941	0.00503059
4.38	24.9167	0.00499646
4.39	24.9392	0.00496254
4.4	24.9615	0.0049288
4.41	24.9836	0.00489527
4.42	25.0056	0.00486192
4.43	25.0274	0.00482877
4.44	25.0491	0.0047958
4.45	25.0706	0.00476303
4.46	25.092	0.00473045
4.47	25.1132	0.00469806
4.48	25.1343	0.00466586
4.49	25.1553	0.00463385
4.5	25.1761	0.00460203
