LeakagePort 0	Current turn 0.5	Pressure storage 41.4424	Pressure reaction 1.4764
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.8	29.9193	26.019	0.0138569	0.0270402
1.81	29.8883	26.0851	0.0136935	0.0271089
1.82	29.8576	26.1505	0.0135295	0.0271768
1.83	29.8272	26.2151	0.0133649	0.0272439
1.84	29.7973	26.2788	0.0131998	0.0273102
1.85	29.7677	26.3418	0.0130341	0.0273757
1.86	29.7385	26.4041	0.0128679	0.0274404
1.87	29.7097	26.4655	0.0127012	0.0275042
1.88	29.6812	26.5261	0.0125339	0.0275672
1.89	29.6531	26.5859	0.0123661	0.0276294
1.9	29.6254	26.6449	0.0121978	0.0276907
1.91	29.5981	26.7032	0.012029	0.0277512
1.92	29.5711	26.7606	0.0118597	0.0278109
1.93	29.5445	26.8172	0.01169	0.0278697
1.94	29.5183	26.873	0.0115198	0.0279277
1.95	29.4925	26.928	0.0113491	0.0279848
1.96	29.4671	26.9821	0.0111779	0.0280411
1.97	29.442	27.0355	0.0110063	0.0280966
1.98	29.4174	27.088	0.0108343	0.0281512
1.99	29.3931	27.1397	0.0106618	0.0282049
2	29.3692	27.1906	0.0104889	0.0282578
2.01	29.3457	27.2407	0.0103156	0.0283098
2.02	29.3226	27.2899	0.0101419	0.028361
2.03	29.2999	27.3383	0.00996779	0.0284113
2.04	29.2775	27.3859	0.00979327	0.0284607
2.05	29.2556	27.4326	0.00961836	0.0285093
2.06	29.234	27.4786	0.00944307	0.028557
2.07	29.2129	27.5236	0.0092674	0.0286039
2.08	29.1921	27.5679	0.00909137	0.0286498
2.09	29.1717	27.6113	0.00891497	0.0286949
2.1	29.1517	27.6538	0.00873821	0.0287391
2.11	29.1322	27.6955	0.0085611	0.0287825
2.12	29.113	27.7364	0.00838365	0.028825
2.13	29.0942	27.7764	0.00820585	0.0288665
2.14	29.0758	27.8156	0.00802772	0.0289072
2.15	29.0578	27.8539	0.00784927	0.0289471
2.16	29.0402	27.8913	0.00767048	0.028986
2.17	29.023	27.9279	0.00749138	0.0290241
2.18	29.0062	27.9637	0.00731196	0.0290612
2.19	28.9898	27.9986	0.00713224	0.0290975
2.2	28.9739	28.0326	0.0069522	0.0291329
2.21	28.9583	28.0658	0.00677186	0.0291673
2.22	28.9431	28.0982	0.00659122	0.0292009
2.23	28.9283	28.1296	0.00641028	0.0292336
2.24	28.914	28.1602	0.00622905	0.0292654
2.25	28.9	28.1899	0.00604753	0.0292963
2.26	28.8865	28.2188	0.00586571	0.0293263
2.27	28.8733	28.2468	0.00568361	0.0293554
2.28	28.8606	28.2739	0.00550121	0.0293836
2.29	28.8483	28.3002	0.00531852	0.0294109
2.3	28.8363	28.3256	0.00513555	0.0294373
2.31	28.8248	28.3501	0.00495228	0.0294628
2.32	28.8137	28.3737	0.00476871	0.0294873
2.33	28.803	28.3965	0.00458485	0.029511
2.34	28.7928	28.4184	0.00440068	0.0295337
2.35	28.7829	28.4394	0.00421619	0.0295555
2.36	28.7735	28.4595	0.00403139	0.0295765
2.37	28.7644	28.4787	0.00384625	0.0295965
2.38	28.7558	28.4971	0.00366076	0.0296155
2.39	28.7476	28.5146	0.00347491	0.0296337
2.4	28.7398	28.5311	0.00328867	0.0296509
2.41	28.7324	28.5468	0.00310202	0.0296672
2.42	28.7255	28.5617	0.00291492	0.0296826
2.43	28.719	28.5756	0.00272733	0.0296971
2.44	28.7128	28.5886	0.0025392	0.0297106
2.45	28.7072	28.6007	0.00235046	0.0297232
2.46	28.7019	28.6119	0.00216102	0.0297349
2.47	28.697	28.6222	0.00197077	0.0297456
2.48	28.6926	28.6316	0.00177956	0.0297554
2.49	28.6886	28.6401	0.00158716	0.0297642
2.5	28.6851	28.6477	0.00139326	0.0297721
2.51	28.682	28.6544	0.0011974	0.029779
2.52	28.6793	28.6601	0.000998788	0.0297849
2.53	28.677	28.6648	0.000796035	0.0297899
2.54	28.6753	28.6686	0.000586169	0.0297938
