SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
2.6	19.4398	0.0163754	55.5544
2.61	19.5125	0.0163064	55.5544
2.62	19.5849	0.0162372	55.5544
2.63	19.6569	0.0161677	55.5544
2.64	19.7287	0.0160981	55.5544
2.65	19.8001	0.0160283	55.5544
2.66	19.8712	0.0159584	55.5544
2.67	19.942	0.0158883	55.5544
2.68	20.0125	0.0158181	55.5544
2.69	20.0827	0.0157477	55.5544
2.7	20.1525	0.0156772	55.5544
2.71	20.2221	0.0156066	55.5544
2.72	20.2913	0.0155358	55.5544
2.73	20.3602	0.015465	55.5544
2.74	20.4288	0.015394	55.5544
2.75	20.4971	0.015323	55.5544
2.76	20.5651	0.0152518	55.5544
2.77	20.6327	0.0151806	55.5544
2.78	20.7	0.0151094	55.5544
2.79	20.7671	0.015038	55.5544
2.8	20.8338	0.0149666	55.5544
2.81	20.9001	0.0148952	55.5544
2.82	20.9662	0.0148237	55.5544
2.83	21.0319	0.0147522	55.5544
2.84	21.0974	0.0146806	55.5544
2.85	21.1625	0.0146091	55.5544
2.86	21.2272	0.0145375	55.5544
2.87	21.2917	0.0144659	55.5544
2.88	21.3558	0.0143943	55.5544
2.89	21.4197	0.0143227	55.5544
2.9	21.4832	0.0142511	55.5544
2.91	21.5464	0.0141795	55.5544
2.92	21.6092	0.014108	55.5544
2.93	21.6718	0.0140365	55.5544
2.94	21.734	0.013965	55.5544
2.95	21.7959	0.0138935	55.5544
2.96	21.8575	0.0138221	55.5544
2.97	21.9188	0.0137508	55.5544
2.98	21.9798	0.0136795	55.5544
2.99	22.0404	0.0136082	55.5544
3	22.1007	0.013537	55.5544
3.01	22.1607	0.0134659	55.5544
3.02	22.2204	0.0133949	55.5544
3.03	22.2798	0.013324	55.5544
3.04	22.3389	0.0132531	55.5544
3.05	22.3976	0.0131823	55.5544
3.06	22.456	0.0131116	55.5544
3.07	22.5142	0.0130411	55.5544
3.08	22.572	0.0129706	55.5544
3.09	22.6294	0.0129002	55.5544
3.1	22.6866	0.01283	55.5544
3.11	22.7435	0.0127598	55.5544
3.12	22.8	0.0126898	55.5544
3.13	22.8563	0.0126199	55.5544
3.14	22.9122	0.0125502	55.5544
3.15	22.9678	0.0124806	55.5544
3.16	23.0231	0.0124111	55.5544
